City_ID,City.1,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,debre werk',10.6667,38.1667,60.94,76,87,4.54,ET,1683653867
145,sona,45.4388,10.8255,67.86,56,20,10.36,IT,1683653868
146,upper grand lagoon,30.1633,-85.7408,86.14,66,75,6.91,US,1683653868
147,aldinga beach,-35.2793,138.4604,56.43,83,7,5.12,AU,1683653868
148,tangalle,6.024,80.7911,77.81,91,100,6.98,LK,1683653868
149,crete,35.1558,24.895,54.45,84,100,3.2,GR,1683653869
150,aasiaat,68.7098,-52.8699,29.8,78,72,2.95,GL,1683653869
151,kenai,60.5544,-151.2583,42.89,75,100,21.85,US,1683653869
152,hermanus,-34.4187,19.2345,55.8,76,78,3.89,ZA,1683653870
153,rosso,16.4986,-15.8153,91.4,23,30,19.53,SN,1683653870
154,kiunga,-6.1219,141.2906,74.28,100,100,1.07,PG,1683653871
155,punta arenas,-53.15,-70.9167,44.71,57,40,13.8,CL,1683653871
156,livingstone,-17.8419,25.8543,66.69,52,6,5.68,ZM,1683653871
157,san juan,-31.5375,-68.5364,77.27,23,57,9.26,AR,1683653872
158,homer,59.6425,-151.5483,44.49,59,75,20.71,US,1683653872
159,puerto baquerizo moreno,-0.9,-89.6,83.39,84,75,9.22,EC,1683653872
160,riberalta,-10.9833,-66.1,80.8,74,75,11.5,BO,1683653872
161,lompoc,34.6391,-120.4579,62.69,68,75,13.8,US,1683653698
162,new plymouth,-39.0667,174.0833,62.56,1,37,1.01,NZ,1683653742
163,sann,26.0418,68.1378,84.11,29,0,9.57,PK,1683653873
164,kailua-kona,19.6406,-155.9956,75.16,85,40,6.91,US,1683653873
165,rameswaram,9.2833,79.3,83.84,81,99,19.6,IN,1683653874
166,turkmenbasy,40.0222,52.9552,59.77,77,0,11.5,TM,1683653874
167,selfoss,63.9331,-20.9971,53.04,81,97,7.47,IS,1683653834
168,wellington,-41.2866,174.7756,62.58,93,100,17.27,NZ,1683653875
169,bredasdorp,-34.5322,20.0403,57.88,90,57,4.16,ZA,1683653875
170,kyren,51.6828,102.1408,51.57,67,100,2.62,RU,1683653875
171,wailua homesteads,22.0669,-159.378,72.39,87,75,14.97,US,1683653876
172,conceicao da barra,-18.5933,-39.7322,79.34,66,86,7.94,BR,1683653876
173,dolbeau-mistassini,48.8763,-72.212,52.27,27,13,7.56,CA,1683653877
174,sorong,-0.8833,131.25,79.86,84,97,5.82,ID,1683653877
175,corinth,37.9407,22.9573,64.89,81,98,5.64,GR,1683653877
176,kansk,56.2017,95.7175,49.84,66,100,13.15,RU,1683653877
177,luderitz,-26.6481,15.1594,63.97,56,1,5.88,,1683653878
178,paya,18.25,-70.3,89.46,54,99,14.83,DO,1683653878
179,prado,-17.3411,-39.2208,79.09,70,58,9.4,BR,1683653878
180,papatowai,-46.5619,169.4708,44.94,89,100,4.65,NZ,1683653879
181,general conesa,-40.1,-64.4333,65.48,35,97,17.22,AR,1683653879
182,broken hill,-31.95,141.4333,46.71,78,0,8.61,AU,1683653879
183,chonchi,-42.6128,-73.8092,61.12,85,85,1.95,CL,1683653879
184,lebu,-37.6167,-73.65,59.41,61,72,15.3,CL,1683653880
185,mirny,62.5353,113.9611,37.44,95,100,10.11,RU,1683653880
186,lazaro cardenas,17.9583,-102.2,89.78,49,2,10.71,MX,1683653785
187,sassandra,4.95,-6.0833,83.61,74,52,7.23,CI,1683653880
188,bich'vinta,43.1592,40.3378,57.38,84,90,5.26,GE,1683653881
189,kayangel,8.0823,134.7173,82.67,76,94,1.59,PW,1683653881
190,pitimbu,-7.4706,-34.8086,86.59,72,73,12.19,BR,1683653882
191,thunder bay,48.4001,-89.3168,62.58,27,40,9.22,CA,1683653641
192,ebolowa,2.9,11.15,72.18,98,95,2.62,CM,1683653883
193,whitehorse,60.7161,-135.0538,45.1,48,75,12.66,CA,1683653883
194,kuqa,41.7278,82.9364,62.64,17,82,5.61,CN,1683653883
195,ribeira grande,38.5167,-28.7,64.8,94,75,13.0,PT,1683653884
196,plettenberg bay,-34.0527,23.3716,60.6,86,47,4.12,ZA,1683653884
197,doaba,33.4244,70.7364,70.86,40,0,2.91,PK,1683653885
198,butte,39.6499,-121.5677,63.37,53,89,4.29,US,1683653886
199,vernon,50.2581,-119.2691,58.1,64,99,2.3,CA,1683653803
200,la sarre,48.8002,-79.1996,57.2,36,5,5.68,CA,1683653887
201,zorritos,-3.6805,-80.6782,86.29,70,52,8.25,PE,1683653887
202,afaahiti,-17.75,-149.2833,78.67,75,80,6.38,PF,1683653854
203,holualoa,19.6228,-155.9522,71.44,86,40,6.91,US,1683653889
204,minas de marcona,-15.2119,-75.1103,68.83,62,19,15.88,PE,1683653889
205,kailahun,8.2833,-10.5667,84.06,60,97,1.36,SL,1683653890
206,magdagachi,53.45,125.8,31.71,69,0,5.08,RU,1683653890
207,stanley,54.868,-1.6985,59.79,76,40,4.61,GB,1683653891
208,miquelon,47.0975,-56.3814,42.8,78,100,24.79,PM,1683653891
209,verkhovazh'ye,60.7472,42.0465,44.42,77,97,4.23,RU,1683653892
210,oliveira dos brejinhos,-12.3169,-42.8961,86.68,38,62,7.18,BR,1683653764
211,island harbour,50.724,-1.2758,59.07,90,100,1.99,GB,1683653893
212,karachi,24.9056,67.0822,82.22,74,0,6.91,PK,1683653606
213,suva,-18.1416,178.4415,69.28,100,75,3.44,FJ,1683653894
214,uturoa,-16.7333,-151.4333,81.48,73,89,5.59,PF,1683653895
215,huarmey,-10.0681,-78.1522,77.77,74,53,9.95,PE,1683653895
216,jiayuguan,39.8167,98.3,53.02,16,100,9.08,CN,1683653896
217,yaren,-0.5472,166.916,83.35,78,90,14.25,NR,1683653896
218,thinadhoo,0.5333,72.9333,81.97,76,74,5.97,MV,1683653896
219,aykhal,66.0,111.5,21.25,85,77,18.19,RU,1683653826
220,kapuskasing,49.4169,-82.4331,60.89,31,100,6.91,CA,1683653898
221,kencong,-8.2833,113.3667,77.25,92,100,2.37,ID,1683653898
222,kralendijk,12.15,-68.2667,85.98,70,75,21.85,BQ,1683653899
223,tokar,18.4254,37.729,80.4,56,4,7.67,SD,1683653899
224,touros,-5.1989,-35.4608,84.18,70,68,14.54,BR,1683653861
225,nahan,30.55,77.3,72.66,25,0,7.38,IN,1683653900
226,iskateley,67.6803,53.1512,31.21,83,99,12.26,RU,1683653901
227,laojunmiao,39.8333,97.7333,46.96,17,100,9.19,CN,1683653840
228,roccella ionica,38.322,16.4009,61.7,84,95,6.29,IT,1683653902
229,niafunke,15.9322,-3.9906,103.37,12,99,7.36,ML,1683653902
230,nova sintra,14.8667,-24.7167,69.6,79,0,16.6,CV,1683653902
231,port hueneme,34.1478,-119.1951,63.88,78,75,9.22,US,1683653643
232,richards bay,-28.783,32.0377,64.99,91,100,4.09,ZA,1683653800
233,makhambet,47.6667,51.5833,59.92,70,94,18.14,KZ,1683653909
234,tevriz,57.509,72.4042,36.28,38,2,2.13,RU,1683653909
235,dauphin,51.1494,-100.0502,59.14,58,20,5.75,CA,1683653808
236,coahuayana de hidalgo,18.7,-103.6583,94.21,40,2,6.96,MX,1683653910
